地址,行政区,街道,总户数,lng,lat
月浦十村,宝山,月浦,934,121.43659492242556,31.42204474528219
翰城国际,浦东,三林,933,121.516503419574,31.160623021860435
万科有山,青浦,赵巷,932,121.23807704031726,31.13168986807974
四元路20弄,宝山,月浦,928,121.4420038893928,31.417376627219316
金地世家,嘉定,嘉定新城,928,121.26648074189835,31.331942598434967
南苑七村,嘉定,嘉定城区,928,121.25718193241181,31.372756049520923
鼎信公寓,松江,松江新城,928,121.23948603250966,31.036197785109668
住友嘉馨名苑,嘉定,嘉定城区,926,121.25947863010917,31.406436978054668
荣都公寓,松江,松江老城,926,121.25105099730621,31.020275870510883
锦绣逸庭,青浦,徐泾,922,121.26767000856302,31.17585685069046
新月明星园,宝山,月浦,922,121.40701300333757,31.449935930905927
万科金色华亭,松江,松江老城,922,121.19603508482258,31.02117032616967
怡佳苑,杨浦,黄兴公园,921,121.54541448410711,31.302331981561746
东波苑二街坊,浦东,金桥,920,121.5821495201405,31.290755237479512
圣骊河滨苑,杨浦,东外滩,919,121.53863119954018,31.263405272014694
博雅苑(召楼路2056弄),闵行,浦江镇,918,121.54568397576011,31.062475865171013
西上海名邸,嘉定,安亭,912,121.17446829664739,31.293254967483577
新华御湖上园,金山,亭林,911,121.32041778946451,30.89085570748157
闵浦新苑一村,闵行,浦江镇,911,121.536889654648,31.063011479637705
九龙仓兰廷,浦东,周浦,910,121.59834659729927,31.11752350025074
石泉五村,普陀,光新,910,121.45046799339944,31.26748917898916
紫荆四村,嘉定,安亭,907,121.17141765113549,31.29850577936977
中冶祥腾宝月花园,宝山,月浦,905,121.41840621212063,31.430301625754403
金地双都汇,松江,松江,903,121.35279442682459,31.079804920087252
海华花园,黄浦,打浦桥,902,121.47554266459112,31.210392210997142
绿洲花园,宝山,顾村,899,121.37274695999837,31.356143906314838
东鼎名人府邸,松江,松江新城,898,121.21458141055103,31.044166784166556
浦江世博家园二街坊,闵行,浦江镇,898,121.50841669371206,31.088484680328182
东陆新村四街坊,浦东,金桥,896,121.60067796958931,31.28241769149485
美罗家园美安苑,宝山,罗店,896,121.35256014874759,31.394245050818952
佳泰花园,杨浦,黄兴公园,890,121.53677637832317,31.305405973972146
